,French,English
0,je,I
1,de,of
2,est,East
3,pas,not
4,le,THE
5,la,there
6,tu,you
7,que,that
8,un,A
9,il,he
10,et,And
11,à,has
12,a,has
13,ne,born
14,les,THE
15,ce,This
16,en,in
17,on,we
18,ça,That
19,une,a
20,ai,ai
21,pour,For
22,des,of the
23,moi,Me
24,qui,Who
25,nous,We
26,y,y
27,mais,but
28,me,me
29,dans,In
30,du,of
31,bien,GOOD
32,elle,She
33,si,if
34,tout,All
35,plus,more
36,non,No
37,mon,My
38,suis,am
39,te,you
40,au,At
41,avec,with
42,va,go
43,oui,Yes
44,toi,You
45,fait,do
46,ils,they
47,as,ace
48,être,be
49,faire,TO DO
50,se,se
51,comme,as
52,était,was
53,sur,on
54,quoi,What
55,ici,here
56,sais,know
57,lui,him
58,veux,want
59,ma,my
60,là,there
61,rien,Nothing
62,dit,said
63,es,are
64,où,Or
65,votre,your
66,pourquoi,Why
67,sont,are
68,cette,this
69,quand,When
70,par,by
71,son,her
72,ton,your
73,peux,can
74,vais,go
75,dire,say
76,alors,SO
77,comment,how
78,avez,have
79,bon,Good
80,ou,Or
81,très,very
82,merci,THANKS
83,ont,have
84,même,even
85,jamais,Never
86,aussi,Also
87,voir,see
88,chose,thing
89,allez,Go on
90,tous,all
91,deux,two
92,ces,these
93,faut,must
94,sa,its
95,êtes,are
96,été,summer
97,ta,your
98,fais,do 
99,avoir,to have
100,peut,can
101,autre,other
102,m,m
103,encore,Again
104,maintenant,NOW
105,peu,little
106,mes,my
107,vraiment,Really
108,temps,time
109,notre,OUR
110,toujours,always
111,vie,life
112,sans,without
113,juste,just
114,oh,Oh
115,avait,had
116,accord,agreement
117,vu,seen
118,monde,world
119,quelque,some
120,fois,times
121,aller,go
122,trop,too much
123,viens,come
124,crois,believe
125,dieu,God
126,dois,have to
127,homme,man
128,père,father
129,sûr,on
130,aux,to
131,leur,their
132,avant,Before
133,étais,was
134,besoin,need
135,femme,women
136,aime,love
137,personne,person
138,avais,had
139,chez,at the house of
140,vrai,TRUE
141,ans,years
142,mal,wrong
143,ses,his
144,parler,talk
145,vos,your
146,après,After
147,mort,dead
148,veut,wanna
149,eu,had
150,sera,will be
151,bonne,Good
152,parce,because
153,mieux,better
154,petit,little
155,voilà,There
156,tes,your 
157,ca,That
158,dis,say
159,beaucoup,a lot
160,depuis,Since
161,doit,must
162,vois,see 
163,mère,mother
164,vas,go
165,monsieur,Sir
166,quel,what
167,déjà,Already
168,fille,girl
169,gens,people
